"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
2520,186,"RUS","Russia",51,"Nenets","<U+041D><U+0435><U+043D><U+0435><U+0446><U+043A><U+0438><U+0439> <U+0410><U+041E><U+043A>","Nenetskiy A.Okr.|Nenetskiy Aok","Avtonomnyy Okrug","Autonomous Province"
2521,186,"RUS","Russia",52,"Nizhegorod","<U+041D><U+0438><U+0436><U+0435><U+0433><U+043E><U+0440><U+043E><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Gor'kiy|Gor'kovskaya|Gorky|Nizhegorodskaya|Nizhniy-Novgorod|Nizhegorodskaya Oblast","Oblast","Region"
2522,186,"RUS","Russia",53,"North Ossetia","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0421><U+0435><U+0432><U+0435><U+0440><U+043D><U+0430><U+044F> <U+041E><U+0441><U+0435><U+0442><U+0438><U+044F>-<U+0410><U+043B><U+0430><U+043D><U+0438><U+044F>","Kuzey Osetya|Respublika Severnaya Osetiya|Severnaya Osetiya-Alaniya|North Ossetian A.S.S.R.|Republic of North Osetia-Alania","Respublika","Republic"
2523,186,"RUS","Russia",54,"Novgorod","<U+041D><U+043E><U+0432><U+0433><U+043E><U+0440><U+043E><U+0434><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Novgorodskaya Oblast","Oblast","Region"
2524,186,"RUS","Russia",55,"Novosibirsk","<U+041D><U+043E><U+0432><U+043E><U+0441><U+0438><U+0431><U+0438><U+0440><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Novosibirskaya Oblast","Oblast","Region"
2525,186,"RUS","Russia",56,"Omsk","<U+041E><U+043C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Omskaya Oblast","Oblast","Region"
2526,186,"RUS","Russia",57,"Orel","<U+041E><U+0440><U+043B><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Orlovskaya|Or'ol|Oryol|Orlovskaya Oblast","Oblast","Region"
2527,186,"RUS","Russia",58,"Orenburg","<U+041E><U+0440><U+0435><U+043D><U+0431><U+0443><U+0440><U+0433><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Chkalov|Orenburgskaya|Orenburgskaya Oblast","Oblast","Region"
2528,186,"RUS","Russia",59,"Penza","<U+041F><U+0435><U+043D><U+0437><U+0435><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Penzenskaya Oblast","Oblast","Region"
2529,186,"RUS","Russia",60,"Perm'","<U+041F><U+0435><U+0440><U+043C><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Molotov|Permskaya Oblast","Kray","Territory"
2530,186,"RUS","Russia",61,"Primor'ye","<U+041F><U+0440><U+0438><U+043C><U+043E><U+0440><U+0441><U+043A><U+0438><U+0439> <U+043A><U+0440><U+0430><U+0439>","Küsten-Gebiet|Maritime Territory|Primorsk|Primorskiy Kray","Kray","Territory"
2531,186,"RUS","Russia",62,"Pskov","<U+041F><U+0441><U+043A><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Pskovskaya Oblast","Oblast","Region"
2532,186,"RUS","Russia",63,"Rostov","<U+0420><U+043E><U+0441><U+0442><U+043E><U+0432><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Province of the Don Cossacks|Provinz des Donischen Heeres|Voyska Donskovo|Rostovskaya Oblast","Oblast","Region"
2533,186,"RUS","Russia",64,"Ryazan'","<U+0420><U+044F><U+0437><U+0430><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Ryazanskaya Oblast|Ryazanskaya Oblast","Oblast","Region"
2534,186,"RUS","Russia",65,"Sakha","<U+0420><U+0435><U+0441><U+043F><U+0443><U+0431><U+043B><U+0438><U+043A><U+0430> <U+0421><U+0430><U+0445><U+0430>","Republic of Sakha|Yakutia-Sakha|Yakutsk|Yakut A.S.S.R.|Yakutskaya A.S.S.R.|Respublika Sakha","Respublika","Republic"
2535,186,"RUS","Russia",66,"Sakhalin","<U+0421><U+0430><U+0445><U+0430><U+043B><U+0438><U+043D><U+0441><U+043A><U+0430><U+044F> <U+043E><U+0431><U+043B><U+0430><U+0441><U+0442><U+044C>","Sakhalinskaya Oblast","Oblast","Region"
